anime_id,genre_id
1,17
1,23
1,27
1,1
1,2
1,40
5,17
5,1
5,7
5,2
5,40
6,17
6,2
6,23
6,27
6,1
6,8
7,17
7,7
7,37
7,38
7,1
7,35
8,23
8,43
8,8
8,38
15,17
15,25
15,27
15,8
16,27
16,1
16,30
16,42
16,36
17,36
17,27
17,25
17,8
18,17
18,39
18,25
18,1
18,24
19,1
19,14
19,7
19,37
19,28
19,24
19,15
20,17
20,23
20,27
20,19
20,22
20,8
21,17
21,23
21,27
21,19
21,1
21,43
21,8
22,17
22,27
22,10
22,8
22,25
23,17
23,8
23,25
24,27
24,42
24,10
24,8
25,17
25,23
25,27
25,34
25,2
25,8
26,17
26,2
26,28
26,1
27,17
27,38
27,9
28,27
28,8
29,17
29,16
29,2
29,33
29,1
29,24
30,17
30,2
30,6
30,28
30,1
30,41
31,1
31,41
31,28
31,2
32,2
32,6
32,28
32,1
32,41
33,17
33,16
33,23
33,14
33,3
33,38
33,1
33,43
33,24
43,17
43,41
43,37
43,28
43,2
43,24
44,17
44,33
44,1
44,42
44,22
44,20
44,8
45,17
45,23
45,27
45,33
45,42
45,20
45,8
46,20
46,33
46,1
46,8
47,17
47,16
47,2
47,23
47,14
47,38
47,24
48,5
48,2
48,23
48,7
48,35
48,43
49,27
49,35
49,42
49,24
49,38
50,27
50,38
50,35
50,42
50,24
51,17
51,1
51,42
51,26
51,38
52,2
52,27
52,25
52,1
52,8
53,31
53,36
53,27
53,1
53,42
53,24
54,17
54,16
54,2
54,37
54,1
54,41
54,8
55,17
55,23
55,43
55,14
55,2
56,23
56,43
56,2
56,8
57,27
57,1
57,32
57,8
57,36
58,23
58,42
58,41
58,16
58,2
58,14
58,40
58,1
59,2
59,27
59,1
59,42
59,34
59,24
60,17
60,3
60,33
60,42
60,8
60,38
61,17
61,27
61,35
61,42
61,43
61,10
61,26
62,1
62,31
62,35
62,42
63,2
63,31
63,27
63,42
63,34
63,8
64,17
64,27
64,1
64,35
64,24
65,17
65,27
65,1
65,35
65,24
66,36
66,27
66,10
67,17
67,23
67,33
67,38
67,42
67,20
67,43
68,2
68,23
68,27
68,19
68,8
69,17
69,43
69,16
69,2
71,17
71,16
71,2
71,27
71,41
72,17
72,27
72,10
73,17
73,16
73,41
74,27
74,10
74,26
74,19
75,17
75,1
75,41
75,16
75,2
76,17
76,27
76,1
76,35
76,19
77,17
77,27
77,1
77,35
77,19
79,31
79,27
79,1
79,35
79,42
79,34
79,43
79,10
79,24
80,17
80,16
80,2
80,40
80,41
81,23
81,1
81,41
81,16
81,42
81,2
82,16
82,2
82,40
82,1
82,41
83,16
83,2
83,1
83,42
83,41
84,16
84,2
84,23
84,40
84,1
84,42
84,41
85,16
85,2
85,40
85,1
85,42
85,41
86,40
86,27
86,41
86,16
86,1
86,2
87,16
87,2
87,40
87,1
87,41
88,1
88,41
88,16
88,2
88,40
89,1
89,41
89,16
89,2
89,40
90,17
90,16
90,2
90,40
90,1
90,41
91,17
91,1
91,41
91,16
91,2
91,40
92,2
92,23
92,40
92,1
92,41
93,17
93,1
93,41
93,16
93,42
93,2
93,40
94,17
94,1
94,41
94,16
94,42
94,2
94,40
95,17
95,16
95,2
95,23
95,40
95,1
95,42
95,41
96,23
96,27
96,1
96,22
96,41
96,42
96,2
96,40
96,25
97,17
97,2
97,23
98,17
98,27
98,1
98,43
98,35
98,41
98,42
98,10
98,12
99,27
99,1
99,43
99,35
100,27
100,1
100,43
100,35
100,42
100,26
100,19
101,36
101,38
101,1
101,42
102,27
102,1
102,42
102,26
103,23
103,27
103,43
103,35
103,42
103,26
104,23
104,27
104,14
104,28
104,38
104,1
104,42
104,26
105,36
105,27
105,42
105,8
106,1
106,42
106,10
106,26
107,23
107,27
107,43
107,2
107,8
108,23
108,43
108,28
108,27
108,8
109,23
109,27
109,41
109,2
110,17
110,27
110,1
110,8
111,2
111,23
111,27
111,35
112,17
112,34
112,23
112,43
112,35
112,27
112,19
112,2
113,17
113,41
113,42
113,2
113,40
114,27
114,10
114,8
115,23
115,27
115,43
116,23
116,27
116,42
116,43
117,23
117,27
117,42
117,43
118,23
118,27
118,43
119,27
119,1
119,42
119,36
120,36
120,27
120,38
120,1
120,42
120,26
121,17
121,23
121,27
121,1
121,43
121,35
121,16
121,8
122,32
122,27
122,38
122,1
122,42
122,26
123,23
123,43
123,35
123,22
123,27
123,42
123,33
123,1
123,26
124,23
124,43
124,42
124,1
124,26
125,27
125,42
125,10
126,27
126,1
126,42
127,17
127,2
127,27
127,43
127,41
127,8
128,17
128,1
128,41
128,2
128,8
129,17
129,23
129,27
129,3
129,1
129,8
129,38
130,17
130,23
130,27
130,3
130,1
130,30
130,38
131,17
131,23
131,27
131,3
131,1
131,30
131,38
132,17
132,27
132,1
132,7
132,8
132,19
132,38
133,27
133,34
133,42
133,10
133,36
134,17
134,28
134,16
134,1
134,2
135,27
135,5
135,8
135,38
136,17
136,23
136,19
136,43
136,8
137,17
137,23
137,19
137,8
138,17
138,23
138,19
138,43
138,8
139,17
139,23
139,19
139,43
139,8
141,41
141,2
142,23
142,27
142,3
142,1
142,43
142,35
142,7
142,42
142,26
143,38
143,1
143,35
143,42
143,41
143,8
143,12
144,1
144,42
144,36
144,38
145,27
145,1
145,42
145,10
145,26
145,36
146,2
146,27
146,1
146,35
146,42
146,34
147,1
147,42
147,36
148,1
148,42
148,36
149,17
149,7
149,38
149,1
149,42
149,43
149,30
149,18
150,17
150,16
150,7
150,14
150,38
150,1
150,9
151,17
151,2
151,27
151,34
151,12
152,17
152,2
152,19
153,17
153,23
153,43
153,35
153,38
154,17
154,23
154,27
154,19
154,38
154,8
155,17
155,1
155,43
155,14
155,35
155,2
155,38
156,17
156,19
